# SOLIS VSM 6302L/core Polar Mean Radial Field (Filtered) Time Series Parameter Data
#
# This file contains a filtered time series of parameter values measured
# from 630.15nm Fe line core magnetograms made with the Vector
# SpectroMagnetograph (VSM) instrument on the Synoptic Optical
# Long-term Investigations of the Sun (SOLIS) telescope.  SOLIS
# was designed and built by the National Solar Observatory (NSO)
# and is operated by the NSO Integrated Synoptic Program (NISP).
# This file was created on Nov 4, 2016 at 02:19:42 (UTC) with
# version 1.3 of the routine solis_vsm_polarfield_filter.pro.
#
# The data columns below are described as follows (note that all 
# measurements correspond to longitudes between -50 and 50 degrees):
#
# Column  1: UT year [YYYY]
# Column  2: UT month [MM]
# Column  3: UT day [DD]
# Column  4: UT time [HHMM]
# Column  5: Julian day number corresponding to columns 1-4 [days]
# Column  6: Mean net magnetic flux for latitudes between -75 and -60 degrees [Gauss]
# Column  7: Error in the mean corresponding to Column 6 [Gauss]
# Column  8: Mean net magnetic flux for latitudes between -75 and -65 degrees [Gauss]
# Column  9: Error in the mean corresponding to Column 8 [Gauss]
# Column 10: Mean net magnetic flux for latitudes between -70 and -60 degrees [Gauss]
# Column 11: Error in the mean corresponding to Column 10 [Gauss]
# Column 12: Mean net magnetic flux for latitudes between 60 and 75 degrees [Gauss]
# Column 13: Error in the mean corresponding to Column 12 [Gauss]
# Column 14: Mean net magnetic flux for latitudes between 60 and 70 degrees [Gauss]
# Column 15: Error in the mean corresponding to Column 14 [Gauss]
# Column 16: Mean net magnetic flux for latitudes between 65 and 75 degrees [Gauss]
# Column 17: Error in the mean corresponding to Column 16 [Gauss]
#
 2004 04 13 1200 2453109.0000   4.610 0.0392   5.100 0.0598   4.443 0.0457  -4.176 0.0406  -3.715 0.0455  -5.195 0.0472
 2004 04 14 1200 2453110.0000   4.614 0.0386   5.101 0.0596   4.447 0.0453  -4.179 0.0405  -3.716 0.0455  -5.198 0.0470
 2004 04 15 1200 2453111.0000   4.617 0.0386   5.105 0.0595   4.450 0.0453  -4.181 0.0405  -3.718 0.0455  -5.200 0.0470
 2004 04 16 1200 2453112.0000   4.615 0.0388   5.104 0.0596   4.448 0.0455  -4.181 0.0405  -3.718 0.0455  -5.200 0.0470
 2004 04 17 1200 2453113.0000   4.616 0.0387   5.107 0.0595   4.448 0.0455  -4.180 0.0405  -3.717 0.0455  -5.200 0.0470
 2004 04 18 1200 2453114.0000   4.622 0.0381   5.115 0.0587   4.452 0.0452  -4.173 0.0405  -3.708 0.0454  -5.192 0.0471
 2004 04 19 1200 2453115.0000   4.626 0.0377   5.121 0.0585   4.456 0.0449  -4.164 0.0405  -3.699 0.0457  -5.182 0.0470
 2004 04 20 1200 2453116.0000   4.632 0.0370   5.130 0.0577   4.461 0.0444  -4.160 0.0405  -3.694 0.0457  -5.179 0.0471
 2004 04 21 1200 2453117.0000   4.638 0.0366   5.140 0.0568   4.465 0.0442  -4.158 0.0406  -3.692 0.0457  -5.175 0.0471
 2004 04 22 1200 2453118.0000   4.641 0.0361   5.149 0.0559   4.465 0.0442  -4.153 0.0409  -3.688 0.0459  -5.168 0.0476
 2004 04 23 1200 2453119.0000   4.642 0.0360   5.152 0.0558   4.465 0.0442  -4.151 0.0409  -3.686 0.0459  -5.164 0.0478
 2004 04 24 1200 2453120.0000   4.646 0.0359   5.158 0.0556   4.467 0.0441  -4.149 0.0410  -3.685 0.0459  -5.162 0.0478
 2004 04 25 1200 2453121.0000   4.648 0.0358   5.162 0.0555   4.467 0.0441  -4.147 0.0410  -3.683 0.0460  -5.160 0.0479
 2004 04 26 1200 2453122.0000   4.651 0.0357   5.168 0.0554   4.469 0.0441  -4.144 0.0411  -3.680 0.0460  -5.158 0.0480
 2004 04 27 1200 2453123.0000   4.655 0.0354   5.174 0.0550   4.471 0.0440  -4.146 0.0409  -3.683 0.0458  -5.159 0.0479
 2004 04 28 1200 2453124.0000   4.657 0.0353   5.179 0.0549   4.472 0.0439  -4.144 0.0410  -3.680 0.0459  -5.157 0.0479
 2004 04 29 1200 2453125.0000   4.659 0.0352   5.183 0.0548   4.472 0.0439  -4.142 0.0410  -3.677 0.0459  -5.155 0.0480
 2004 04 30 1200 2453126.0000   4.661 0.0351   5.188 0.0547   4.473 0.0439  -4.140 0.0410  -3.675 0.0459  -5.153 0.0480
 2004 05 01 1200 2453127.0000   4.663 0.0351   5.192 0.0545   4.474 0.0439  -4.138 0.0411  -3.672 0.0460  -5.151 0.0481
 2004 05 02 1200 2453128.0000   4.669 0.0352   5.202 0.0549   4.477 0.0439  -4.136 0.0411  -3.668 0.0460  -5.153 0.0481
 2004 05 03 1200 2453129.0000   4.672 0.0350   5.206 0.0550   4.478 0.0439  -4.135 0.0411  -3.667 0.0461  -5.152 0.0481
 2004 05 04 1200 2453130.0000   4.673 0.0351   5.209 0.0550   4.476 0.0439  -4.138 0.0410  -3.670 0.0460  -5.161 0.0477
 2004 05 05 1200 2453131.0000   4.675 0.0350   5.212 0.0548   4.477 0.0439  -4.138 0.0410  -3.669 0.0461  -5.163 0.0476
 2004 05 06 1200 2453132.0000   4.677 0.0349   5.217 0.0547   4.477 0.0439  -4.139 0.0411  -3.670 0.0461  -5.166 0.0477
 2004 05 07 1200 2453133.0000   4.680 0.0347   5.219 0.0546   4.478 0.0438  -4.141 0.0410  -3.671 0.0461  -5.172 0.0474
 2004 05 08 1200 2453134.0000   4.682 0.0347   5.224 0.0544   4.479 0.0438  -4.143 0.0410  -3.671 0.0461  -5.176 0.0473
 2004 05 09 1200 2453135.0000   4.684 0.0346   5.227 0.0544   4.480 0.0438  -4.139 0.0410  -3.668 0.0461  -5.175 0.0473
